qid;zooLabel;countryLabel;inception;regionLabel;lat;long
Q3162430;saigon zoo and botanical gardens;Vietnam;1865-01-01T00:00:00Z;Ho Chi Minh City;1.078.805.541.992.180;106.704.719.543.457
Q993926;asahiyama zoo;Japan;1967-07-01T00:00:00Z;Asahikawa;4.376.805.114.746.090;1.424.797.821.044.920
Q19610585;ankara zoo;Turkey;;Ankara;;
Q1267646;dusit zoo;Thailand;1938-01-01T00:00:00Z;Dusit;1.377.250.003.814.690;1.005.163.879.394.530
Q2343219;ramat gan safari;Israel;1974-01-01T00:00:00Z;Ramat Gan;3.204.499.816.894.530;3.482.500.076.293.940
Q2709506;singapore zoo;Singapore;1973-06-27T00:00:00Z;North Region;140.378.201.007.843;1.037.941.436.767.570
Q2896297;negevzoo;Israel;1954-01-01T00:00:00Z;Beersheba;3.126.000.022.888.180;3.474.499.893.188.470
Q4167605;tashkent zoo;Uzbekistan;1924-01-01T00:00:00Z;;;
Q11325868;north safari sapporo;Japan;;"Toyotaki, Sapporo";;
Q22118342;q22118342;Japan;;Kahoku;;
Q4315033;ashgabat zoo;Turkmenistan;;Gökdepe District;;
Q42486215;shamakhi safari park;Azerbaijan;;;;
Q20892053;indian zoos and botanical gardens;India;;;;
Q1136334;yangon zoological gardens;Myanmar;1906-01-25T00:00:00Z;Yangon;1.679.166.603.088.370;961.594.467.163.086
Q3108672;yerevan zoo;Armenia;1940-01-01T00:00:00Z;Yerevan;4.019.596.481.323.240;4.455.051.422.119.140
Q2452280;baku zoo;Azerbaijan;1928-01-01T00:00:00Z;Baku;;
Q18987429;chittagong zoo;Bangladesh;1989-01-01T00:00:00Z;Chittagong;2.236.666.679.382.320;9.179.611.206.054.680
Q18124666;anoop patel;Uttar Pradesh;;;;
Q28068900;nasu safari park;Japan;;Nasu;;
Q24942915;dr. shyama prasad mukharjee surat municipal zoo;India;;Gujarat;;
Q1413736;tama zoological park;Japan;1958-05-05T00:00:00Z;Hino;3.565.000.152.587.890;1.393.999.938.964.840
Q3182046;shanghai zoo;People's Republic of China;;Shanghai;3.119.547.653.198.240;121.358.757.019.043
Q591131;taipei zoo;Taiwan;1914-01-01T00:00:00Z;Wenshan District;249.950.008.392.334;1.215.841.674.804.680
Q3082977;marine life park;Singapore;2011-11-22T00:00:00Z;Sentosa;1.258.399.963.378.900;1.038.177.032.470.700
Q2774335;sakkarbaug zoological garden;India;1863-01-01T00:00:00Z;Junagadh district;2.154.199.981.689.450;7.046.499.633.789.060
Q833625;kabul zoo;Afghanistan;1967-01-01T00:00:00Z;Kabul;3.450.944.519.042.960;6.915.528.106.689.450
Q11370332;kyushu african safari;Japan;;Usa;;
Q93969065;etawah safari park;India;;Etawah;;
Q4059427;dubai aquarium and underwater zoo;United Arab Emirates;2008-11-04T00:00:00Z;Dubai;;
Q861318;nogeyama zoo;Japan;1951-04-01T00:00:00Z;Oimatsucho;3.544.655.609.130.850;1.396.228.790.283.200
Q2307982;manila zoological and botanical garden;Philippines;1959-01-01T00:00:00Z;;1.456.474.113.464.350;1.209.886.016.845.700
Q220043;kathmandu zoo;Nepal;1932-01-01T00:00:00Z;Lalitpur;2.767.318.534.851.070;853.109.359.741.211
Q944021;thu le park;Vietnam;;;;
Q1046034;shymkent zoo;Kazakhstan;1980-01-01T00:00:00Z;Shymkent;4.237.697.219.848.630;6.962.808.990.478.510
Q85751068;cebu safari and adventure park;Philippines;2018-01-01T00:00:00Z;Corte;;
Q18667200;lai chi kok zoo;People's Republic of China;;;;
Q708915;korea central zoo;North Korea;1959-04-01T00:00:00Z;Pyongyang;3.907.500.076.293.940;1.258.150.024.414.060
Q302897;hirakata park;Japan;1910-01-01T00:00:00Z;Hirakata;3.480.577.850.341.790;1.356.381.378.173.820
Q2530020;chai nat bird park;Thailand;;;;
Q4251753;batu secret zoo;Indonesia;2010-06-01T00:00:00Z;;;
Q3695337;lahore zoo;Pakistan;1872-01-01T00:00:00Z;;3.155.611.038.208.000;7.432.583.618.164.060
Q2587322;adventure world;Japan;1978-01-01T00:00:00Z;Shirahama;;
Q6349213;kakanakote;India;;;;
Q25109977;suzhou zoo;People's Republic of China;;Jiangsu;;
Q1058886;carmel hai-bar nature reserve;Israel;1973-01-01T00:00:00Z;;3.275.299.835.205.070;3.501.300.048.828.120
Q3295344;higashiyama zoo and botanical gardens;Japan;1937-03-01T00:00:00Z;Chikusa-ku;;
Q4250220;surabaya zoo;Indonesia;1916-08-31T00:00:00Z;Surabaya;-7.295.833.110.809.320;1.127.361.145.019.530
