qid,zooLabel,countryLabel,inception,regionLabel
Q3162430,Saigon Zoo and Botanical Gardens,Vietnam,1865-01-01T00:00:00Z,Ho Chi Minh City
Q993926,Asahiyama Zoo,Japan,1967-07-01T00:00:00Z,Asahikawa
Q19610585,Ankara Zoo,Turkey,,Ankara
Q1267646,Dusit Zoo,Thailand,1938-01-01T00:00:00Z,Dusit
Q2343219,Ramat Gan Safari,Israel,1974-01-01T00:00:00Z,Ramat Gan
Q2709506,Singapore Zoo,Singapore,1973-06-27T00:00:00Z,North Region
Q2896297,NegevZoo,Israel,1954-01-01T00:00:00Z,Beersheba
Q4167605,Tashkent Zoo,Uzbekistan,1924-01-01T00:00:00Z,
Q11325868,North Safari Sapporo,Japan,,"Toyotaki, Sapporo"
Q22118342,Q22118342,Japan,,Kahoku
Q4315033,Ashgabat Zoo,Turkmenistan,,Gökdepe District
Q42486215,Shamakhi Safari Park,Azerbaijan,,
Q20892053,Indian Zoos and Botanical Gardens,India,,
Q1136334,Yangon Zoological Gardens,Myanmar,1906-01-25T00:00:00Z,Yangon
Q3108672,Yerevan Zoo,Armenia,1940-01-01T00:00:00Z,Yerevan
Q2452280,Baku Zoo,Azerbaijan,1928-01-01T00:00:00Z,Baku
Q18987429,Chittagong Zoo,Bangladesh,1989-01-01T00:00:00Z,Chittagong
Q18124666,Anoop Patel,Uttar Pradesh,,
Q28068900,Nasu Safari Park,Japan,,Nasu
Q24942915,Dr. Shyama Prasad Mukharjee Surat Municipal Zoo,India,,Gujarat
Q1413736,Tama Zoological Park,Japan,1958-05-05T00:00:00Z,Hino
Q3182046,Shanghai Zoo,People's Republic of China,,Shanghai
Q591131,Taipei Zoo,Taiwan,1914-01-01T00:00:00Z,Wenshan District
Q3082977,Marine Life Park,Singapore,2011-11-22T00:00:00Z,Sentosa
Q2774335,Sakkarbaug Zoological Garden,India,1863-01-01T00:00:00Z,Junagadh district
Q833625,Kabul Zoo,Afghanistan,1967-01-01T00:00:00Z,Kabul
Q11370332,Kyushu African Safari,Japan,,Usa
Q93969065,Etawah Safari Park,India,,Etawah
Q4059427,Dubai Aquarium and Underwater Zoo,United Arab Emirates,2008-11-04T00:00:00Z,Dubai
Q861318,Nogeyama Zoo,Japan,1951-04-01T00:00:00Z,Oimatsuchō
Q2307982,Manila Zoological and Botanical Garden,Philippines,1959-01-01T00:00:00Z,
Q220043,Kathmandu Zoo,Nepal,1932-01-01T00:00:00Z,Lalitpur
Q944021,Thủ Lệ Park,Vietnam,,
Q1046034,Shymkent Zoo,Kazakhstan,1980-01-01T00:00:00Z,Shymkent
Q85751068,Cebu Safari and Adventure Park,Philippines,2018-01-01T00:00:00Z,Corte
Q18667200,Lai Chi Kok Zoo,People's Republic of China,,
Q708915,Korea Central Zoo,North Korea,1959-04-01T00:00:00Z,Pyongyang
Q302897,Hirakata Park,Japan,1910-01-01T00:00:00Z,Hirakata
Q2530020,Chai Nat Bird Park,Thailand,,
Q4251753,Batu Secret Zoo,Indonesia,2010-06-01T00:00:00Z,
Q3695337,Lahore Zoo,Pakistan,1872-01-01T00:00:00Z,
Q2587322,Adventure World,Japan,1978-01-01T00:00:00Z,Shirahama
Q6349213,Kakanakote,India,,
Q25109977,Suzhou Zoo,People's Republic of China,,Jiangsu
Q1058886,Carmel Hai-Bar Nature Reserve,Israel,1973-01-01T00:00:00Z,
Q3295344,Higashiyama Zoo and Botanical Gardens,Japan,1937-03-01T00:00:00Z,Chikusa-ku
Q4250220,Surabaya Zoo,Indonesia,1916-08-31T00:00:00Z,Surabaya
Q4703495,Mohamed bin Zayed Nature Reserve,Bahrain,1976-01-01T00:00:00Z,
Q3493970,Nehru Zoological Park,India,1963-10-06T00:00:00Z,Hyderabad
Q11594892,Akiyoshidai Safari Land,Japan,1978-01-01T00:00:00Z,Mine
Q3576063,Zoorasia,Japan,1999-04-24T00:00:00Z,Asahi-ku
Q4036104,Chiang Mai Night Safari,Thailand,2006-02-06T00:00:00Z,Chiang Mai
Q24945533,Maitri Baagh Zoo,India,1972-01-01T00:00:00Z,Bhilai
Q2275145,Nandankanan Zoological Park,India,1960-01-01T00:00:00Z,
Q862533,Naypyidaw Zoological Gardens,Myanmar,2008-03-27T00:00:00Z,
Q19820001,Pinnawala Open Zoo,Sri Lanka,2015-04-17T00:00:00Z,Pinnawala
Q3034913,Chiang Mai Zoo,Thailand,1957-01-01T00:00:00Z,Chiang Mai
Q3959995,Siberian Tiger Park,People's Republic of China,,
Q2672104,Pinnawala Elephant Orphanage,Sri Lanka,1975-01-01T00:00:00Z,
Q3576027,Songkhla Zoo,Thailand,,Khao Rup Chang
Q4739454,Amami Islands Botanical Garden,Japan,,Amami
Q647766,Jijamata Udyaan,India,1861-01-01T00:00:00Z,Mumbai
Q11102641,Hangzhou Safari Park,People's Republic of China,2002-01-01T00:00:00Z,Fuyang District
Q3276955,Assam State Zoo cum Botanical Garden,India,1958-01-01T00:00:00Z,Guwahati
Q19611523,Eskişehir Zoo,Turkey,2017-05-01T00:00:00Z,Eskişehir
Q162722,Ueno Zoo,Japan,1882-01-01T00:00:00Z,Ueno-kōen
