"zooLabel","wikidata","abstract","locationLabel","lat","long"
"Museum of Life and Science","http://www.wikidata.org/entity/Q12062222",,"North Carolina",36.02864837646484,-78.8973388671875
"Museum of Life and Science","http://www.wikidata.org/entity/Q12062222",,"Durham, North Carolina",36.02864837646484,-78.8973388671875
"Gopalpur Zoo","http://www.wikidata.org/entity/Q18125200",,"Himachal Pradesh",32.13890075683594,76.44899749755859
"Coker Arboretum","http://www.wikidata.org/entity/Q5141722",,"Chapel Hill, North Carolina",35.91374969482422,-79.04897308349609
"International Crane Foundation","http://www.wikidata.org/entity/Q1666487",,"Baraboo, Wisconsin",43.54769897460938,-89.75630187988281
"The Lair (Dreamworld)","http://www.wikidata.org/entity/Q7745231",,"Dreamworld (Australia)",-27.86478042602539,153.3174133300781
"Botanical and Zoological Garden of Tsimbazaza","http://www.wikidata.org/entity/Q7849674",,"Madagascar",-18.93000030517578,47.5261116027832
"Botanical and Zoological Garden of Tsimbazaza","http://www.wikidata.org/entity/Q7849674",,"Antananarivo",-18.93000030517578,47.5261116027832
"Zoo di Pistoia","http://www.wikidata.org/entity/Q3763933",,"Italy",,
"Zoo di Pistoia","http://www.wikidata.org/entity/Q3763933",,"Pistoia",,
"Lee G. Simmons Conservation Park and Wildlife Safari","http://www.wikidata.org/entity/Q6513638",,,41.0099983215332,-96.29900360107422
"Lee G. Simmons Wildlife Safari Park","http://www.wikidata.org/entity/Q6513638",,,41.0099983215332,-96.29900360107422
"NegevZoo","http://www.wikidata.org/entity/Q2896297",,,31.26000022888184,34.74499893188477
"Negev Zoo","http://www.wikidata.org/entity/Q2896297",,,31.26000022888184,34.74499893188477
"ZOO Stropkov","http://www.wikidata.org/entity/Q3077125",,,49.2047233581543,21.65138816833496
"Stropkov Animal Park","http://www.wikidata.org/entity/Q3077125",,,49.2047233581543,21.65138816833496
"Heythrop Zoological Gardens","http://www.wikidata.org/entity/Q107637943",,,51.94472122192383,-1.459166646003723
"Pakawi Park","http://www.wikidata.org/entity/Q1825496",,,51.12760162353516,5.14680004119873
"Gaza Zoo","http://www.wikidata.org/entity/Q5528980",,,31.48030853271484,34.44537353515625
"HollyWild Animal Park","http://www.wikidata.org/entity/Q5881872",,,35.02440643310547,-82.14322662353516
"Aquarium of Boise","http://www.wikidata.org/entity/Q5987303",,,43.60541152954102,-116.2733306884766
"Hiroshima City Asa Zoological Park","http://www.wikidata.org/entity/Q81821",,,34.49785614013672,132.4406890869141
"Belgrade Zoo","http://www.wikidata.org/entity/Q625610",,,44.82583236694336,20.45333290100098
"Lone Pine Koala Sanctuary","http://www.wikidata.org/entity/Q641873",,,-27.53293418884277,152.9692993164062
"Amazon World Zoo Park","http://www.wikidata.org/entity/Q266269",,,50.65583419799805,-1.220000028610229
"Belize Zoo","http://www.wikidata.org/entity/Q260740",,,17.35493659973145,-88.55385589599609
"Royal Burgers' Zoo","http://www.wikidata.org/entity/Q390504",,,52.0099983215332,5.899722099304199
"Central Park Zoo","http://www.wikidata.org/entity/Q954207",,,40.76777648925781,-73.97166442871094
"Randers Tropical Zoo","http://www.wikidata.org/entity/Q955173",,,56.45694351196289,10.03277778625488
"Arizona-Sonora Desert Museum","http://www.wikidata.org/entity/Q478839",,,32.24388885498047,-111.1680526733398
"Herberstein Zoo","http://www.wikidata.org/entity/Q17591775",,,47.21916580200195,15.8125
"Herberstein Zoo","http://www.wikidata.org/entity/Q476413",,,47.21916580200195,15.8125
"Zoological Garden, Alipore","http://www.wikidata.org/entity/Q3346440",,,22.53591346740723,88.33205413818359
"Baton Rouge Zoo","http://www.wikidata.org/entity/Q4869485",,,30.56222152709961,-91.16000366210938
"Beale Wildlife Park","http://www.wikidata.org/entity/Q4876130",,,51.5,-1.108333349227905
"Belle Isle Aquarium","http://www.wikidata.org/entity/Q4883644",,,42.33660888671875,-82.9853515625
"Belle Vue Zoological Gardens","http://www.wikidata.org/entity/Q4883720",,,53.4636116027832,-2.1875
"Coral World Ocean Park","http://www.wikidata.org/entity/Q5169520",,,18.34902381896973,-64.86505126953125
"Cornish Seal Sanctuary","http://www.wikidata.org/entity/Q5171837",,,50.09196853637695,-5.202632904052734
"Cosley Zoo","http://www.wikidata.org/entity/Q5173964",,,41.87810134887695,-88.12079620361328
"Cotswold Wildlife Park","http://www.wikidata.org/entity/Q5175494",,,51.77361297607422,-1.654166698455811
"Cougar Mountain Zoo","http://www.wikidata.org/entity/Q5176044",,,47.5529899597168,-122.0806884765625
"Crocodile Zoo, Falster","http://www.wikidata.org/entity/Q5187401",,,54.86388778686523,11.90972232818604
"Fort Wayne Children's Zoo","http://www.wikidata.org/entity/Q5472274",,,41.10638809204102,-85.15451049804688
"Fort Worth Zoo","http://www.wikidata.org/entity/Q5472415",,,32.72190093994141,-97.35659790039062
"Fossil Rim Wildlife Center","http://www.wikidata.org/entity/Q5473503",,,32.18055725097656,-97.79638671875
"Fota Wildlife Park","http://www.wikidata.org/entity/Q5473889",,,51.89099884033203,-8.307000160217285
"Frank Buck Zoo","http://www.wikidata.org/entity/Q5485534",,,33.62167739868164,-97.15420532226562
"Franklin Park Zoo","http://www.wikidata.org/entity/Q5491738",,,42.30519866943359,-71.08910369873047
"Johannesburg Zoo","http://www.wikidata.org/entity/Q5493235",,,-26.16637420654297,28.03818511962891
"Alexandria Zoological Park","http://www.wikidata.org/entity/Q4721004",,,31.28764152526855,-92.45736694335938
"Honolulu Zoo","http://www.wikidata.org/entity/Q5896736",,,21.27090072631836,-157.8191986083984
"Phillips Park Zoo","http://www.wikidata.org/entity/Q7185928",,,41.73630142211914,-88.2947998046875
"Phnom Tamao Wildlife Rescue Centre","http://www.wikidata.org/entity/Q7186583",,,11.30055522918701,104.8011093139648
"Phoenix Zoo","http://www.wikidata.org/entity/Q7187022",,,33.45249938964844,-111.9493026733398
"Plantasia","http://www.wikidata.org/entity/Q7201595",,,51.62166595458984,-3.938611030578613
"Plumpton Park Zoo","http://www.wikidata.org/entity/Q7205466",,,39.70424652099609,-76.00148773193359
