"zooLabel","wikidata"
"Lee G. Simmons Conservation Park and Wildlife Safari","http://www.wikidata.org/entity/Q6513638"
"Lee G. Simmons Wildlife Safari Park","http://www.wikidata.org/entity/Q6513638"
"NegevZoo","http://www.wikidata.org/entity/Q2896297"
"Negev Zoo","http://www.wikidata.org/entity/Q2896297"
"ZOO Stropkov","http://www.wikidata.org/entity/Q3077125"
"Stropkov Animal Park","http://www.wikidata.org/entity/Q3077125"
"Heythrop Zoological Gardens","http://www.wikidata.org/entity/Q107637943"
"Pakawi Park","http://www.wikidata.org/entity/Q1825496"
"Garlyn Zoo","http://www.wikidata.org/entity/Q5523486"
"Gaza Zoo","http://www.wikidata.org/entity/Q5528980"
"HollyWild Animal Park","http://www.wikidata.org/entity/Q5881872"
"Aquarium of Boise","http://www.wikidata.org/entity/Q5987303"
"Hiroshima City Asa Zoological Park","http://www.wikidata.org/entity/Q81821"
"Belgrade Zoo","http://www.wikidata.org/entity/Q625610"
"Lone Pine Koala Sanctuary","http://www.wikidata.org/entity/Q641873"
"Amazon World Zoo Park","http://www.wikidata.org/entity/Q266269"
"Belize Zoo","http://www.wikidata.org/entity/Q260740"
"Royal Burgers' Zoo","http://www.wikidata.org/entity/Q390504"
"Central Park Zoo","http://www.wikidata.org/entity/Q954207"
"Randers Tropical Zoo","http://www.wikidata.org/entity/Q955173"
"Arizona-Sonora Desert Museum","http://www.wikidata.org/entity/Q478839"
"Herberstein Zoo","http://www.wikidata.org/entity/Q17591775"
"Herberstein Zoo","http://www.wikidata.org/entity/Q476413"
"Zoological Garden, Alipore","http://www.wikidata.org/entity/Q3346440"
"Baton Rouge Zoo","http://www.wikidata.org/entity/Q4869485"
"Beale Wildlife Park","http://www.wikidata.org/entity/Q4876130"
"Belle Isle Aquarium","http://www.wikidata.org/entity/Q4883644"
"Belle Vue Zoological Gardens","http://www.wikidata.org/entity/Q4883720"
"Coral World Ocean Park","http://www.wikidata.org/entity/Q5169520"
