zoo,zooLabel,country,countryLabel,region,regionLabel,coord,inception,website
http://www.wikidata.org/entity/Q2709506,Singapore Zoo,http://www.wikidata.org/entity/Q334,Singapore,http://www.wikidata.org/entity/Q2228755,North Region,Point(103.79105 1.404709),1973-06-27T00:00:00Z,https://www.mandai.com/ko/homepage/singapore-zoo.html
http://www.wikidata.org/entity/Q2709506,Singapore Zoo,http://www.wikidata.org/entity/Q334,Singapore,http://www.wikidata.org/entity/Q2228755,North Region,Point(103.79105 1.404709),1973-06-27T00:00:00Z,https://www.mandai.com/zh/singapore-zoo.html
http://www.wikidata.org/entity/Q114355208,Yokohama fortune aquarium,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q1141068,Naka-ku,,,https://fortune-aquarium.com/
http://www.wikidata.org/entity/Q2896297,NegevZoo,http://www.wikidata.org/entity/Q801,Israel,http://www.wikidata.org/entity/Q41843,Beersheba,Point(34.745 31.26),1954-01-01T00:00:00Z,http://www.negevzoo.co.il
http://www.wikidata.org/entity/Q111464720,The National Aquarium Abu Dhabi,http://www.wikidata.org/entity/Q878,United Arab Emirates,http://www.wikidata.org/entity/Q1519,Abu Dhabi,Point(54.495836879 24.402052654),2021-01-01T00:00:00Z,https://thenationalaquarium.ae/
http://www.wikidata.org/entity/Q3156501,Izu Mito Sea Paradise,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q241037,Numazu,Point(138.895944 35.019444),1930-01-01T00:00:00Z,https://www.mitosea.com/
http://www.wikidata.org/entity/Q1136334,Yangon Zoological Gardens,http://www.wikidata.org/entity/Q836,Myanmar,http://www.wikidata.org/entity/Q37995,Yangon,Point(96.159444 16.791667),1906-01-25T00:00:00Z,
http://www.wikidata.org/entity/Q3108672,Yerevan Zoo,http://www.wikidata.org/entity/Q399,Armenia,http://www.wikidata.org/entity/Q1953,Yerevan,Point(44.5505 40.196),1940-01-01T00:00:00Z,https://zoo.am
http://www.wikidata.org/entity/Q2452280,Baku Zoo,http://www.wikidata.org/entity/Q227,Azerbaijan,http://www.wikidata.org/entity/Q9248,Baku,Point(49.848971579 40.392952862),1928-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1413736,Tama Zoological Park,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q236197,Hino,Point(139.402 35.651),1958-05-05T00:00:00Z,https://www.tokyo-zoo.net/chinese/tama/
http://www.wikidata.org/entity/Q1413736,Tama Zoological Park,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q236197,Hino,Point(139.402 35.651),1958-05-05T00:00:00Z,https://www.tokyo-zoo.net/english/tama/
http://www.wikidata.org/entity/Q1413736,Tama Zoological Park,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q236197,Hino,Point(139.402 35.651),1958-05-05T00:00:00Z,https://www.tokyo-zoo.net/korean/tama/
http://www.wikidata.org/entity/Q1413736,Tama Zoological Park,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q236197,Hino,Point(139.402 35.651),1958-05-05T00:00:00Z,https://www.tokyo-zoo.net/zoo/tama/
http://www.wikidata.org/entity/Q3182046,Shanghai Zoo,http://www.wikidata.org/entity/Q148,People's Republic of China,http://www.wikidata.org/entity/Q8686,Shanghai,Point(121.358757 31.195476),,
http://www.wikidata.org/entity/Q124514449,Xpark,http://www.wikidata.org/entity/Q865,Taiwan,http://www.wikidata.org/entity/Q96977947,Qingpu Village,Point(121.2141 25.0172),2020-08-07T00:00:00Z,https://www.xpark.com.tw/
http://www.wikidata.org/entity/Q124514449,Xpark,http://www.wikidata.org/entity/Q865,Taiwan,http://www.wikidata.org/entity/Q96977947,Qingpu Village,Point(121.2141 25.0172),2020-08-07T00:00:00Z,https://www.xpark.com.tw/en
http://www.wikidata.org/entity/Q124514449,Xpark,http://www.wikidata.org/entity/Q865,Taiwan,http://www.wikidata.org/entity/Q96977947,Qingpu Village,Point(121.2141 25.0172),2020-08-07T00:00:00Z,https://www.xpark.com.tw/jp
http://www.wikidata.org/entity/Q591131,Taipei Zoo,http://www.wikidata.org/entity/Q865,Taiwan,http://www.wikidata.org/entity/Q271143,Wenshan District,Point(121.582 25.0026),1914-01-01T00:00:00Z,https://www.zoo.gov.taipei
http://www.wikidata.org/entity/Q3082977,Marine Life Park,http://www.wikidata.org/entity/Q334,Singapore,http://www.wikidata.org/entity/Q870844,Sentosa,Point(103.8186 1.2587),2011-11-22T00:00:00Z,http://www.rwsentosa.com/language/en-US/Attractions/MarineLifePark
http://www.wikidata.org/entity/Q2859182,Istanbul Aquarium,http://www.wikidata.org/entity/Q43,Turkey,http://www.wikidata.org/entity/Q752528,Bakırköy,Point(28.8 40.96416667),2011-04-01T00:00:00Z,http://www.istanbulakvaryum.com
http://www.wikidata.org/entity/Q2774335,Sakkarbaug Zoological Garden,http://www.wikidata.org/entity/Q668,India,http://www.wikidata.org/entity/Q1797344,Junagadh district,Point(70.465 21.542),1863-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q123659140,City Park Aquarium (Tehran),http://www.wikidata.org/entity/Q794,Iran,http://www.wikidata.org/entity/Q5775696,District 12,Point(51.416972222 35.681527777),,
http://www.wikidata.org/entity/Q833625,Kabul Zoo,http://www.wikidata.org/entity/Q889,Afghanistan,http://www.wikidata.org/entity/Q5838,Kabul,Point(69.15527778 34.50944444),1967-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q4059427,Dubai Aquarium and Underwater Zoo,http://www.wikidata.org/entity/Q878,United Arab Emirates,http://www.wikidata.org/entity/Q612,Dubai,Point(55.278416666 25.197555555),2008-11-04T00:00:00Z,https://www.thedubaiaquarium.com/
http://www.wikidata.org/entity/Q861318,Nogeyama Zoo,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q11610652,Oimatsuchō,Point(139.622873 35.446556),1951-04-01T00:00:00Z,https://www.hama-midorinokyokai.or.jp/zoo/nogeyama/
http://www.wikidata.org/entity/Q2307982,Manila Zoological and Botanical Garden,http://www.wikidata.org/entity/Q928,Philippines,,,Point(120.98861 14.56472),1959-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q220043,Kathmandu Zoo,http://www.wikidata.org/entity/Q837,Nepal,http://www.wikidata.org/entity/Q6647,Lalitpur,Point(85.3109334 27.6731849),1932-01-01T00:00:00Z,https://ntnc.org.np/project/central-zoo
http://www.wikidata.org/entity/Q944021,Thủ Lệ Park,http://www.wikidata.org/entity/Q881,Vietnam,,,Point(105.8075 21.03028),,http://www.hanoizoo.com/vuonthuhanoi/2009/vn/#
http://www.wikidata.org/entity/Q114355208,Yokohama fortune aquarium,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q38283,Yokohama,,,https://fortune-aquarium.com/
http://www.wikidata.org/entity/Q1046034,Shymkent Zoo,http://www.wikidata.org/entity/Q232,Kazakhstan,http://www.wikidata.org/entity/Q485496,Shymkent,Point(69.624222222 42.378461111),1980-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q708915,Korea Central Zoo,http://www.wikidata.org/entity/Q423,North Korea,http://www.wikidata.org/entity/Q18808,Pyongyang,Point(125.815 39.075),1959-04-01T00:00:00Z,
http://www.wikidata.org/entity/Q302897,Hirakata Park,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q270912,Hirakata,Point(135.63813056 34.80577778),1910-01-01T00:00:00Z,https://www.hirakatapark.co.jp/
http://www.wikidata.org/entity/Q2530020,Chai Nat Bird Park,http://www.wikidata.org/entity/Q869,Thailand,,,Point(100.152249 15.207276),,
